iter	Passed	Remaining
0	5	573
1	10	516
2	15	508
3	19	478
4	24	473
5	29	463
6	34	458
7	38	447
8	43	441
9	48	433
10	52	428
11	56	417
12	61	408
13	65	400
14	69	391
15	73	383
16	77	376
17	81	373
18	85	365
19	89	358
20	93	353
21	98	347
22	101	341
23	106	335
24	110	331
25	114	325
26	118	320
27	122	314
28	126	309
29	130	304
30	134	298
31	138	294
32	142	290
33	147	285
34	151	280
35	155	276
36	159	271
37	163	266
38	166	261
39	171	257
40	175	253
41	177	245
42	181	240
43	185	236
44	189	231
45	193	227
46	197	222
47	201	218
48	205	214
49	209	209
50	213	204
51	217	200
52	221	196
53	225	191
54	227	186
55	232	182
56	236	178
57	240	174
58	245	170
59	250	167
60	254	162
61	258	158
62	262	154
63	266	149
64	270	145
65	274	141
66	278	137
67	282	133
68	286	128
69	290	124
70	294	120
71	298	115
72	302	111
73	307	107
74	311	103
75	315	99
76	319	95
77	324	91
78	328	87
79	333	83
80	337	79
81	341	74
82	345	70
83	350	66
84	354	62
85	358	58
86	362	54
87	368	50
88	373	46
89	377	41
90	383	37
91	387	33
92	391	29
93	396	25
94	400	21
95	404	16
96	409	12
97	413	8
98	417	4
99	421	0
