iter	Passed	Remaining
0	223	223431
1	227	113434
2	230	76444
3	231	57764
4	234	46570
5	235	39078
6	238	33796
7	241	29950
8	243	26844
9	245	24333
10	248	22346
11	250	20614
12	252	19171
13	258	18229
14	260	17120
15	262	16159
16	264	15302
17	266	14539
18	269	13907
19	271	13322
20	274	12774
21	276	12274
22	277	11804
23	279	11383
24	282	11014
25	285	10696
26	287	10377
27	290	10074
28	292	9784
29	294	9514
30	296	9273
31	300	9083
32	302	8865
33	304	8648
34	306	8449
35	308	8269
36	313	8155
37	316	8011
38	319	7865
39	321	7713
40	323	7559
41	325	7420
42	328	7319
43	331	7193
44	332	7058
45	333	6923
46	335	6793
47	336	6669
48	337	6548
49	338	6432
50	340	6326
51	343	6253
52	344	6151
53	345	6049
54	346	5951
55	347	5858
56	348	5763
57	349	5672
58	350	5583
59	351	5501
60	351	5417
61	352	5336
62	356	5297
63	358	5238
64	359	5166
65	360	5095
66	360	5025
67	361	4958
68	362	4893
69	363	4828
70	364	4766
71	365	4706
72	365	4647
73	366	4589
74	367	4533
75	368	4478
76	371	4447
77	372	4404
78	373	4357
79	374	4308
80	375	4261
81	376	4215
82	377	4168
83	378	4124
84	379	4079
85	379	4036
86	380	3993
87	381	3951
88	382	3910
89	382	3871
90	385	3852
91	387	3822
92	388	3786
93	389	3749
94	389	3714
95	390	3678
96	391	3643
97	392	3612
98	393	3579
99	394	3547
100	395	3516
101	395	3484
102	396	3453
103	397	3426
104	400	3417
105	402	3396
106	403	3370
107	404	3342
108	405	3315
109	406	3288
110	407	3263
111	408	3236
112	408	3210
113	409	3184
114	410	3159
115	411	3134
116	411	3108
117	412	3084
118	413	3064
119	415	3050
120	417	3033
121	418	3011
122	419	2991
123	420	2970
124	421	2950
125	423	2934
126	423	2914
127	424	2894
128	425	2874
129	426	2853
130	427	2834
131	428	2814
132	429	2800
133	431	2787
134	432	2770
135	433	2752
136	434	2735
137	435	2718
138	436	2700
139	436	2683
140	437	2666
141	438	2648
142	439	2631
143	439	2615
144	440	2598
145	441	2582
146	442	2566
147	443	2554
148	445	2545
149	447	2535
150	448	2521
151	449	2506
152	450	2492
153	451	2477
154	451	2463
155	452	2449
156	453	2434
157	454	2420
158	455	2406
159	455	2393
160	456	2378
161	457	2364
162	458	2352
163	460	2347
164	462	2338
165	463	2326
166	463	2314
167	464	2302
168	465	2290
169	466	2278
170	467	2266
171	468	2254
172	469	2242
173	469	2230
174	470	2218
175	471	2207
176	472	2195
177	473	2187
178	475	2182
179	476	2172
180	477	2162
181	478	2151
182	479	2141
183	480	2130
184	481	2120
185	482	2109
186	482	2099
187	483	2088
188	484	2078
189	485	2068
190	485	2058
191	486	2048
192	487	2039
193	491	2040
194	492	2032
195	493	2023
196	494	2014
197	494	2004
198	495	1995
199	496	1986
200	497	1977
201	498	1968
202	498	1959
203	499	1949
204	500	1941
205	501	1932
206	502	1923
207	505	1923
208	511	1936
209	516	1941
210	520	1946
211	525	1953
212	528	1951
213	530	1949
214	532	1945
215	534	1940
216	537	1938
217	540	1938
218	541	1932
219	543	1926
220	544	1920
221	546	1916
222	548	1912
223	550	1906
224	551	1900
225	554	1897
226	555	1891
227	556	1885
228	558	1880
229	559	1873
230	560	1866
231	561	1859
232	562	1852
233	563	1845
234	564	1838
235	565	1831
236	569	1833
237	570	1827
238	571	1820
239	572	1813
240	573	1806
241	574	1799
242	575	1792
243	576	1785
244	576	1778
245	577	1770
246	578	1763
247	579	1756
248	579	1749
249	580	1742
250	582	1737
251	584	1733
252	585	1727
253	585	1720
254	586	1714
255	587	1707
256	588	1701
257	589	1695
258	590	1689
259	591	1682
260	592	1676
261	592	1669
262	593	1663
263	594	1656
264	595	1650
265	596	1647
266	599	1644
267	600	1639
268	601	1633
269	602	1627
